Date,Value,Anomaly,State,Year
194012,61.2,-1.9,Alabama,1940
194112,63.6,0.5,Alabama,1941
194212,62.5,-0.6,Alabama,1942
194312,63.2,0.1,Alabama,1943
194412,63.6,0.5,Alabama,1944
194512,63.9,0.8,Alabama,1945
194612,64.1,1,Alabama,1946
194712,62.7,-0.4,Alabama,1947
194812,63.4,0.3,Alabama,1948
194912,64.2,1.1,Alabama,1949
195012,63.1,0,Alabama,1950
195112,63.8,0.7,Alabama,1951
195212,63.4,0.3,Alabama,1952
195312,63.8,0.7,Alabama,1953
195412,64.2,1.1,Alabama,1954
195512,63.4,0.3,Alabama,1955
195612,63.6,0.5,Alabama,1956
195712,64,0.9,Alabama,1957
195812,61.2,-1.9,Alabama,1958
195912,63,-0.1,Alabama,1959
196012,61.5,-1.6,Alabama,1960
196112,61.9,-1.2,Alabama,1961
196212,63.1,0,Alabama,1962
196312,61.7,-1.4,Alabama,1963
196412,62.4,-0.7,Alabama,1964
196512,63,-0.1,Alabama,1965
196612,61.7,-1.4,Alabama,1966
196712,61.9,-1.2,Alabama,1967
196812,61,-2.1,Alabama,1968
196912,61.4,-1.7,Alabama,1969
197012,62.1,-1,Alabama,1970
197112,62.7,-0.4,Alabama,1971
197212,63,-0.1,Alabama,1972
197312,63.1,0,Alabama,1973
197412,63.1,0,Alabama,1974
197512,62.8,-0.3,Alabama,1975
197612,60.7,-2.4,Alabama,1976
197712,62.5,-0.6,Alabama,1977
197812,61.9,-1.2,Alabama,1978
197912,61.4,-1.7,Alabama,1979
198012,62.5,-0.6,Alabama,1980
198112,62,-1.1,Alabama,1981
198212,63.3,0.2,Alabama,1982
198312,61.2,-1.9,Alabama,1983
198412,62.8,-0.3,Alabama,1984
198512,62.8,-0.3,Alabama,1985
198612,64.1,1,Alabama,1986
198712,63,-0.1,Alabama,1987
198812,62.1,-1,Alabama,1988
198912,62.2,-0.9,Alabama,1989
199012,64.9,1.8,Alabama,1990
199112,64,0.9,Alabama,1991
199212,62.1,-1,Alabama,1992
199312,62.3,-0.8,Alabama,1993
199412,63.1,0,Alabama,1994
199512,63,-0.1,Alabama,1995
199612,62.1,-1,Alabama,1996
199712,62.4,-0.7,Alabama,1997
199812,65.1,2,Alabama,1998
199912,64.1,1,Alabama,1999
200012,63.6,0.5,Alabama,2000
200112,63,-0.1,Alabama,2001
200212,63.6,0.5,Alabama,2002
200312,62.7,-0.4,Alabama,2003
200412,63.3,0.2,Alabama,2004
200512,63.4,0.3,Alabama,2005
200612,64.2,1.1,Alabama,2006
200712,64.4,1.3,Alabama,2007
200812,62.9,-0.2,Alabama,2008
200912,62.9,-0.2,Alabama,2009
201012,62.7,-0.4,Alabama,2010
201112,63.8,0.7,Alabama,2011
201212,64.9,1.8,Alabama,2012
201312,62.6,-0.5,Alabama,2013
201412,62,-1.1,Alabama,2014
201512,64.6,1.5,Alabama,2015
201612,65.4,2.3,Alabama,2016
194012,29.2,3.2,Alaska,1940
194112,26.9,0.9,Alaska,1941
194212,27.2,1.2,Alaska,1942
194312,27.1,1.1,Alaska,1943
194412,27.5,1.5,Alaska,1944
194512,25.6,-0.4,Alaska,1945
194612,24.5,-1.5,Alaska,1946
194712,25.9,-0.1,Alaska,1947
194812,23.4,-2.6,Alaska,1948
194912,25.5,-0.5,Alaska,1949
195012,26.1,0.1,Alaska,1950
195112,25.2,-0.8,Alaska,1951
195212,25.4,-0.6,Alaska,1952
195312,26.1,0.1,Alaska,1953
195412,24.6,-1.4,Alaska,1954
195512,23.3,-2.7,Alaska,1955
195612,21.8,-4.2,Alaska,1956
195712,28.2,2.2,Alaska,1957
195812,27,1,Alaska,1958
195912,24.6,-1.4,Alaska,1959
196012,26.7,0.7,Alaska,1960
196112,23.7,-2.3,Alaska,1961
196212,26.8,0.8,Alaska,1962
196312,26.6,0.6,Alaska,1963
196412,23.3,-2.7,Alaska,1964
196512,24.7,-1.3,Alaska,1965
196612,23.8,-2.2,Alaska,1966
196712,27.1,1.1,Alaska,1967
196812,25.4,-0.6,Alaska,1968
196912,27,1,Alaska,1969
197012,25.2,-0.8,Alaska,1970
197112,22.3,-3.7,Alaska,1971
197212,23.6,-2.4,Alaska,1972
197312,24.6,-1.4,Alaska,1973
197412,23.7,-2.3,Alaska,1974
197512,23,-3,Alaska,1975
197612,25.8,-0.2,Alaska,1976
197712,27,1,Alaska,1977
197812,29.1,3.1,Alaska,1978
197912,27.6,1.6,Alaska,1979
198012,26.5,0.5,Alaska,1980
198112,29.2,3.2,Alaska,1981
198212,25.3,-0.7,Alaska,1982
198312,26.9,0.9,Alaska,1983
198412,25.3,-0.7,Alaska,1984
198512,26.3,0.3,Alaska,1985
198612,26.9,0.9,Alaska,1986
198712,27.5,1.5,Alaska,1987
198812,27.1,1.1,Alaska,1988
198912,26.8,0.8,Alaska,1989
199012,25.4,-0.6,Alaska,1990
199112,27,1,Alaska,1991
199212,25,-1,Alaska,1992
199312,29.9,3.9,Alaska,1993
199412,26.2,0.2,Alaska,1994
199512,27.8,1.8,Alaska,1995
199612,25.1,-0.9,Alaska,1996
199712,28.1,2.1,Alaska,1997
199812,28.4,2.4,Alaska,1998
199912,24,-2,Alaska,1999
200012,28.4,2.4,Alaska,2000
200112,27.3,1.3,Alaska,2001
200212,30.1,4.1,Alaska,2002
200312,29.1,3.1,Alaska,2003
200412,29.3,3.3,Alaska,2004
200512,29.2,3.2,Alaska,2005
200612,26.4,0.4,Alaska,2006
200712,28.1,2.1,Alaska,2007
200812,25.1,-0.9,Alaska,2008
200912,26.8,0.8,Alaska,2009
201012,27.4,1.4,Alaska,2010
201112,27,1,Alaska,2011
201212,24.3,-1.7,Alaska,2012
201312,27.8,1.8,Alaska,2013
201412,30.3,4.3,Alaska,2014
201512,30,4,Alaska,2015
201612,31.9,5.9,Alaska,2016
194012,60.9,1.5,Arizona,1940
194112,58.2,-1.2,Arizona,1941
194212,59.2,-0.2,Arizona,1942
194312,60.5,1.1,Arizona,1943
194412,58,-1.4,Arizona,1944
194512,58.5,-0.9,Arizona,1945
194612,59.3,-0.1,Arizona,1946
194712,59.3,-0.1,Arizona,1947
194812,58.6,-0.8,Arizona,1948
194912,58.2,-1.2,Arizona,1949
195012,60.5,1.1,Arizona,1950
195112,58.9,-0.5,Arizona,1951
195212,58.8,-0.6,Arizona,1952
195312,59.3,-0.1,Arizona,1953
195412,60.9,1.5,Arizona,1954
195512,58.5,-0.9,Arizona,1955
195612,59.5,0.1,Arizona,1956
195712,59.5,0.1,Arizona,1957
195812,60.4,1,Arizona,1958
195912,60.2,0.8,Arizona,1959
196012,59.6,0.2,Arizona,1960
196112,59.3,-0.1,Arizona,1961
196212,59.8,0.4,Arizona,1962
196312,59.8,0.4,Arizona,1963
196412,57.8,-1.6,Arizona,1964
196512,58.5,-0.9,Arizona,1965
196612,59.5,0.1,Arizona,1966
196712,59,-0.4,Arizona,1967
196812,58.7,-0.7,Arizona,1968
196912,59.7,0.3,Arizona,1969
197012,59,-0.4,Arizona,1970
197112,58.2,-1.2,Arizona,1971
197212,59.6,0.2,Arizona,1972
197312,58.4,-1,Arizona,1973
197412,59.5,0.1,Arizona,1974
197512,57.9,-1.5,Arizona,1975
197612,59,-0.4,Arizona,1976
197712,60.2,0.8,Arizona,1977
197812,59.8,0.4,Arizona,1978
197912,58.8,-0.6,Arizona,1979
198012,60.2,0.8,Arizona,1980
198112,61.3,1.9,Arizona,1981
198212,58.7,-0.7,Arizona,1982
198312,59.2,-0.2,Arizona,1983
198412,59.4,0,Arizona,1984
198512,59.6,0.2,Arizona,1985
198612,60.6,1.2,Arizona,1986
198712,59.3,-0.1,Arizona,1987
198812,60.2,0.8,Arizona,1988
198912,61.2,1.8,Arizona,1989
199012,59.7,0.3,Arizona,1990
199112,59.3,-0.1,Arizona,1991
199212,59.6,0.2,Arizona,1992
199312,59.8,0.4,Arizona,1993
199412,60.6,1.2,Arizona,1994
199512,61,1.6,Arizona,1995
199612,61.9,2.5,Arizona,1996
199712,60.5,1.1,Arizona,1997
199812,59.3,-0.1,Arizona,1998
199912,60.8,1.4,Arizona,1999
200012,61.7,2.3,Arizona,2000
200112,61.2,1.8,Arizona,2001
200212,61.2,1.8,Arizona,2002
200312,61.9,2.5,Arizona,2003
200412,60.4,1,Arizona,2004
200512,61.1,1.7,Arizona,2005
200612,61.1,1.7,Arizona,2006
200712,61.6,2.2,Arizona,2007
200812,60.6,1.2,Arizona,2008
200912,61.1,1.7,Arizona,2009
201012,60.4,1,Arizona,2010
201112,60.3,0.9,Arizona,2011
201212,62.1,2.7,Arizona,2012
201312,60.5,1.1,Arizona,2013
201412,62.3,2.9,Arizona,2014
201512,61.8,2.4,Arizona,2015
201612,62.2,2.8,Arizona,2016