Year,Europe,Asia,United States,Canada,Latin America and the Caribbean,Africa,Australia and Oceania
1990,7441.4815,6273.4643,4912.6814,438.1553,928.8144,637.62,290.7987
1991,7343.1985,6584.5421,4878.6746,431.5508,960.5217,646.576,291.9279
1992,6906.6787,6801.8269,4934.9574,442.4735,977.3575,655.3222,296.981
1993,6535.9395,7124.5599,5057.4051,441.872,998.5195,674.1934,300.6878
1994,6191.406,7448.3009,5140.2143,459.3156,1052.6351,678.1107,308.0601
1995,6155.5812,7909.2491,5193.6996,470.5423,1083.974,713.5771,318.9764
1996,6193.582,8150.4215,5359.2681,486.1963,1164.0898,738.0805,330.9145
1997,6000.4957,8251.0187,5538.4548,503.2395,1227.7477,763.7381,340.989
1998,5980.8928,8254.9375,5527.8655,509.1664,1273.6993,775.2829,360.1036
1999,5941.4038,8385.0311,5555.7168,518.6187,1259.0462,774.1698,368.2161
2000,5993.7755,8884.9517,5747.8546,539.2344,1298.5043,784.3274,375.4528
2001,6078.0499,9073.8717,5728.176,530.506,1295.6278,796.2656,384.7041
2002,6057.2752,9520.5221,5656.2335,537.0622,1292.8613,827.2753,389.3722
2003,6243.5062,10336.0478,5733.5668,559.4443,1294.6331,868.25,397.9488
2004,6247.8132,11309.0701,5820.2978,553.7458,1352.6207,911.2344,412.9467
2005,6223.9061,12156.3103,5830.4835,559.6163,1424.8118,951.8857,417.6147
2006,6318.7009,12997.9886,5741.3823,551.2984,1457.0646,972.6948,422.327
2007,6275.8913,13827.4582,5818.1865,580.3332,1516.572,1024.5963,433.0902
2008,6192.0673,14205.7137,5638.2693,564.2874,1600.7811,1077.5021,435.6102
2009,5697.7887,14816.6398,5224.0551,528.2556,1562.6321,1071.8723,439.1535
2010,5937.1734,15724.6786,5469.9155,540.3461,1654.5063,1118.2288,431.1835
2011,5901.5357,16867.2267,5334.3187,545.6601,1698.5684,1112.1522,432.1024
2012,5856.3477,17489.2706,5122.9094,543.0242,1764.5929,1135.1596,430.3605